City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Toora-Khem,RU,2021-08-14 17:39:38,52.4675,96.11,54.77,92,55,2.42,broken clouds
110,Port Hardy,CA,2021-08-14 17:39:38,50.6996,-127.4199,64.58,77,75,9.22,broken clouds
111,Sept-Iles,CA,2021-08-14 17:39:39,50.2001,-66.3821,66.72,97,90,3.0,mist
112,Kaitangata,NZ,2021-08-14 17:39:39,-46.2817,169.8464,45.32,76,84,11.05,broken clouds
113,Geraldton,AU,2021-08-14 17:39:39,-28.7667,114.6,46.81,100,0,11.5,clear sky
114,Imeni Zhelyabova,RU,2021-08-14 17:39:40,58.9544,36.5956,62.08,81,99,4.74,overcast clouds
115,Qaanaaq,GL,2021-08-14 17:39:40,77.484,-69.3632,40.41,98,100,6.58,light rain
116,Sokolo,ML,2021-08-14 17:39:40,14.7328,-6.1219,74.86,76,90,10.54,overcast clouds
117,Pevek,RU,2021-08-14 17:39:41,69.7008,170.3133,35.46,98,100,18.97,light rain
118,Baykit,RU,2021-08-14 17:39:41,61.67,96.37,56.14,95,100,3.47,overcast clouds
119,Mataura,NZ,2021-08-14 17:39:42,-46.1927,168.8643,44.47,84,92,5.86,overcast clouds
120,Iwanai,JP,2021-08-14 17:39:42,42.9744,140.5089,60.01,83,100,2.91,overcast clouds
121,Hovd,MN,2021-08-14 17:39:43,48.0056,91.6419,68.94,37,100,2.06,overcast clouds
122,Fevik,NO,2021-08-14 17:39:43,58.3794,8.6766,61.63,68,76,19.53,broken clouds
123,Coihaique,CL,2021-08-14 17:36:26,-45.5752,-72.0662,50.61,57,0,5.75,clear sky
124,Ossora,RU,2021-08-14 17:39:43,59.2353,163.0719,54.5,86,31,2.39,scattered clouds
125,Humaita,BR,2021-08-14 17:39:44,-7.5061,-63.0208,101.3,21,78,2.19,broken clouds
126,Mantua,IT,2021-08-14 17:39:44,45.1667,10.7833,97.12,57,0,1.99,clear sky
127,Birin,NP,2021-08-14 17:39:45,26.8865,88.0718,63.64,93,96,1.83,overcast clouds
128,Tasiilaq,GL,2021-08-14 17:39:45,65.6145,-37.6368,50.16,82,30,12.93,scattered clouds
129,Blackwater,AU,2021-08-14 17:39:45,-23.5833,148.8833,57.13,90,10,7.56,clear sky
130,Nouadhibou,MR,2021-08-14 17:39:46,20.931,-17.0347,82.38,61,0,10.36,clear sky
131,Hambantota,LK,2021-08-14 17:39:46,6.1241,81.1185,79.95,76,93,18.48,overcast clouds
132,Anadyr,RU,2021-08-14 17:39:46,64.75,177.4833,52.3,93,40,6.71,scattered clouds
133,Mar Del Plata,AR,2021-08-14 17:39:47,-38.0023,-57.5575,57.22,72,20,10.36,few clouds
134,Chuncheng,CN,2021-08-14 17:39:47,22.1731,111.7886,78.48,95,100,1.19,light rain
135,Chanika,TZ,2021-08-14 17:39:48,-5.4167,38.0167,65.01,84,62,5.61,broken clouds
136,Saskylakh,RU,2021-08-14 17:39:48,71.9167,114.0833,51.53,62,100,4.9,overcast clouds
137,Vryheid,ZA,2021-08-14 17:39:48,-27.7695,30.7917,44.58,89,100,2.57,overcast clouds
138,Bethel,US,2021-08-14 17:39:49,41.3712,-73.414,88.92,65,20,5.75,few clouds
139,Georgiyevka,KZ,2021-08-14 17:39:49,43.0369,74.7114,68.04,56,75,6.71,broken clouds
140,Ribeira Grande,PT,2021-08-14 17:39:49,38.5167,-28.7,79.2,69,40,13.8,scattered clouds
141,Zabaykalsk,RU,2021-08-14 17:39:50,49.6333,117.3167,56.86,86,11,5.01,few clouds
142,Bengkulu,ID,2021-08-14 17:39:50,-3.8004,102.2655,75.58,90,97,5.28,overcast clouds
143,Antipino,RU,2021-08-14 17:39:51,57.1068,65.7576,62.89,50,11,5.88,few clouds
144,North Bend,US,2021-08-14 17:35:44,43.4065,-124.2243,70.92,88,90,8.05,mist
145,Goundam,ML,2021-08-14 17:39:52,16.4145,-3.6708,83.26,54,59,16.31,broken clouds
146,Lagoa,PT,2021-08-14 17:39:52,39.05,-27.9833,74.57,78,28,7.87,scattered clouds
147,Dunedin,NZ,2021-08-14 17:39:52,-45.8742,170.5036,46.94,65,62,11.72,broken clouds
148,Nanortalik,GL,2021-08-14 17:39:53,60.1432,-45.2371,49.57,92,100,7.52,light rain
149,Awbari,LY,2021-08-14 17:39:53,26.5921,12.7805,90.46,14,0,10.58,clear sky
150,Dehloran,IR,2021-08-14 17:39:54,32.6941,47.2679,99.48,10,0,14.63,clear sky
151,Narsaq,GL,2021-08-14 17:39:54,60.9167,-46.05,53.82,81,100,1.52,light rain
152,Do Gonbadan,IR,2021-08-14 17:39:54,30.3586,50.7981,98.69,9,0,6.91,clear sky
153,Tateyama,JP,2021-08-14 17:39:55,34.9833,139.8667,69.82,90,100,22.37,light rain
154,Victoria,HK,2021-08-14 17:35:33,22.2855,114.1577,82.96,84,100,8.23,overcast clouds
155,George,ZA,2021-08-14 17:39:55,-33.963,22.4617,51.35,82,20,6.91,few clouds
156,New Norfolk,AU,2021-08-14 17:39:55,-42.7826,147.0587,54.9,70,73,1.99,broken clouds
157,Mahibadhoo,MV,2021-08-14 17:39:56,3.7833,72.9667,82.26,76,70,17.27,broken clouds
158,Arraial Do Cabo,BR,2021-08-14 17:37:32,-22.9661,-42.0278,66.16,88,90,5.75,light intensity drizzle
159,Macklin,CA,2021-08-14 17:39:56,52.3334,-109.9348,88.14,14,20,12.66,few clouds
160,Alyangula,AU,2021-08-14 17:39:57,-13.8483,136.4192,69.67,94,5,0.0,clear sky
161,Cayenne,GF,2021-08-14 17:39:57,4.9333,-52.3333,87.84,75,40,4.0,scattered clouds
162,Serra Talhada,BR,2021-08-14 17:36:47,-7.9919,-38.2983,89.46,26,28,12.35,scattered clouds
163,Novopokrovka,UA,2021-08-14 17:39:57,49.8425,36.5477,75.58,42,100,8.61,overcast clouds
164,Aklavik,CA,2021-08-14 17:39:58,68.2191,-135.0107,52.63,82,20,8.05,haze
165,Inongo,CD,2021-08-14 17:39:58,-1.95,18.2667,75.27,59,51,2.93,broken clouds
166,Pangnirtung,CA,2021-08-14 17:39:59,66.1451,-65.7125,50.0,87,90,6.91,moderate rain
167,Oyama,JP,2021-08-14 17:39:59,36.3,139.8,66.65,96,100,7.05,overcast clouds
168,Ancud,CL,2021-08-14 17:40:00,-41.8697,-73.8203,49.42,68,100,2.37,overcast clouds
169,Eureka,US,2021-08-14 17:40:00,40.8021,-124.1637,59.61,71,46,8.25,scattered clouds
170,Iqaluit,CA,2021-08-14 17:40:01,63.7506,-68.5145,42.53,87,90,11.5,light rain
171,Kovdor,RU,2021-08-14 17:40:02,67.5662,30.4758,56.12,78,63,3.96,broken clouds
172,Saldanha,ZA,2021-08-14 17:40:02,-33.0117,17.9442,55.45,68,0,10.0,clear sky
173,Isangel,VU,2021-08-14 17:40:02,-19.55,169.2667,67.32,72,60,15.3,broken clouds
174,Grindavik,IS,2021-08-14 17:40:03,63.8424,-22.4338,57.15,82,75,17.27,broken clouds
175,Beringovskiy,RU,2021-08-14 17:40:03,63.05,179.3167,55.2,75,76,9.24,broken clouds
176,Husavik,IS,2021-08-14 17:40:04,66.0449,-17.3389,53.51,86,95,7.54,overcast clouds
177,Torbay,CA,2021-08-14 17:35:30,47.6666,-52.7314,80.76,85,75,5.75,light rain
178,Tukrah,LY,2021-08-14 17:40:04,32.5341,20.5791,81.19,53,0,27.2,clear sky
179,Acapulco,MX,2021-08-14 17:40:05,16.8634,-99.8901,87.62,62,40,4.61,scattered clouds
180,Martapura,ID,2021-08-14 17:40:05,-3.4167,114.85,75.29,94,91,3.44,overcast clouds
181,Eskil,TR,2021-08-14 17:40:05,38.4017,33.4131,72.21,46,21,17.49,few clouds
182,Ulagan,RU,2021-08-14 17:40:06,50.6321,87.9563,52.63,97,100,2.59,overcast clouds
183,Deputatskiy,RU,2021-08-14 17:40:06,69.3,139.9,36.95,84,81,4.16,broken clouds
184,Walvis Bay,NA,2021-08-14 17:40:07,-22.9575,14.5053,54.55,82,0,8.05,clear sky
185,Gander,CA,2021-08-14 17:40:07,48.9682,-54.5906,82.53,65,75,4.61,broken clouds
186,Hamilton,US,2021-08-14 17:37:19,39.1834,-84.5333,84.06,63,90,1.99,overcast clouds
187,Srednekolymsk,RU,2021-08-14 17:40:08,67.45,153.6833,45.45,86,100,9.35,light rain
188,Port Lincoln,AU,2021-08-14 17:40:08,-34.7333,135.8667,51.39,63,0,7.38,clear sky
189,Broken Hill,AU,2021-08-14 17:40:09,-31.95,141.4333,47.91,57,1,8.05,clear sky
190,Sao Joao Da Barra,BR,2021-08-14 17:40:09,-21.6403,-41.0511,75.29,77,42,8.5,scattered clouds
191,Denpasar,ID,2021-08-14 17:37:30,-8.65,115.2167,78.46,94,75,11.5,broken clouds
192,Ndende,GA,2021-08-14 17:40:09,-2.4008,11.3581,81.27,63,88,7.63,overcast clouds
193,Saint-Augustin,CA,2021-08-14 17:40:10,51.226,-58.6502,73.83,71,68,8.72,broken clouds
