City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Rio Gallegos,AR,2021-08-09 21:22:47,-51.6226,-69.2181,50.05,40,0,21.85
147,Zavetnoye,RU,2021-08-09 21:26:03,47.1194,43.8903,84.78,25,20,14.05
148,Santo Antonio Do Taua,BR,2021-08-09 21:26:03,-1.1519,-48.1294,82.35,71,76,1.66
149,Pisco,PE,2021-08-09 21:24:52,-13.7,-76.2167,66.25,68,25,18.41
150,Ishinomaki,JP,2021-08-09 21:26:04,38.4167,141.3,78.8,89,75,9.8
151,Sinnamary,GF,2021-08-09 21:26:05,5.3833,-52.95,79.61,86,37,11.45
152,San Rafael,AR,2021-08-09 21:23:00,-34.6177,-68.3301,50.56,40,6,4.65
153,Central Point,US,2021-08-09 21:26:05,42.376,-122.9164,88.18,28,1,3.44
154,Tarakan,ID,2021-08-09 21:26:05,3.3,117.6333,79.2,80,59,3.58
155,Mount Gambier,AU,2021-08-09 21:22:45,-37.8333,140.7667,50.36,61,26,13.22
156,Honningsvag,NO,2021-08-09 21:26:06,70.9821,25.9704,56.97,76,100,14.27
157,Ribeira Grande,PT,2021-08-09 21:26:06,38.5167,-28.7,73.8,78,20,1.14
158,Bakel,SN,2021-08-09 21:26:07,14.905,-12.4568,87.53,59,65,8.52
159,Lasa,IT,2021-08-09 21:26:07,46.6166,10.7002,63.63,85,83,3.04
160,Panzhihua,CN,2021-08-09 21:26:07,26.5851,101.7128,71.58,96,100,2.19
161,Anderson,US,2021-08-09 21:26:07,34.5334,-82.6499,92.03,54,1,1.01
162,Dingle,PH,2021-08-09 21:26:08,10.9995,122.6711,74.48,92,100,3.62
163,Zhigansk,RU,2021-08-09 21:26:08,66.7697,123.3711,59.88,44,12,7.63
164,Blind River,CA,2021-08-09 21:26:08,46.1834,-82.9582,78.91,96,100,3.42
165,Pangnirtung,CA,2021-08-09 21:26:09,66.1451,-65.7125,55.4,71,90,26.46
166,Airai,TL,2021-08-09 21:26:09,-8.9266,125.4092,54.7,89,90,2.62
167,Victoria,HK,2021-08-09 21:21:43,22.2855,114.1577,85.32,89,100,1.01
168,Chapais,CA,2021-08-09 21:26:10,49.7834,-74.8492,76.78,68,98,9.01
169,West Wendover,US,2021-08-09 21:23:13,40.7391,-114.0733,81.61,20,1,5.75
170,Manokwari,ID,2021-08-09 21:26:10,-0.8667,134.0833,77.95,76,86,3.51
171,Verkhoyansk,RU,2021-08-09 21:26:10,67.5447,133.385,70.27,35,29,2.19
172,Tiebissou,CI,2021-08-09 21:26:11,7.1574,-5.2257,79.05,96,84,5.06
173,Ginda,IN,2021-08-09 21:26:11,30.6945,78.4932,63.97,87,47,4.59
174,Okha,RU,2021-08-09 21:22:30,53.5739,142.9478,55.31,70,10,4.72
175,Kargasok,RU,2021-08-09 21:26:11,59.0556,80.8572,56.52,72,80,5.12
176,Belyy Yar,RU,2021-08-09 21:26:12,53.6039,91.3903,57.09,94,79,2.24
177,Chokurdakh,RU,2021-08-09 21:26:12,70.6333,147.9167,60.62,56,62,9.13
178,Naze,JP,2021-08-09 21:26:12,28.3667,129.4833,76.77,87,17,5.12
179,San Andres,CO,2021-08-09 21:26:13,12.5847,-81.7006,86.02,70,20,13.8
180,Barrow,US,2021-08-09 21:26:13,71.2906,-156.7887,39.22,81,90,4.61
181,Isabela,PH,2021-08-09 21:26:13,6.7085,121.9711,77.05,86,95,6.4
182,Praia Da Vitoria,PT,2021-08-09 21:23:46,38.7333,-27.0667,73.76,83,75,7.7
183,Tortoli,IT,2021-08-09 21:26:14,39.9256,9.6572,80.98,83,40,6.91
184,Vao,NC,2021-08-09 21:26:14,-22.6667,167.4833,65.03,66,100,21.34
185,Westport,US,2021-08-09 21:26:04,41.1415,-73.3579,80.98,92,90,1.99
186,Kashmor,PK,2021-08-09 21:26:15,28.4333,69.5833,88.43,52,0,13.89
187,Kloulklubed,PW,2021-08-09 21:26:15,7.0419,134.2556,75.7,70,57,7.99
188,Montbrison,FR,2021-08-09 21:26:16,45.6667,4.0833,66.06,85,7,2.21
189,Caravelas,BR,2021-08-09 21:26:16,-17.7125,-39.2481,69.3,81,1,4.34
